Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
44,135.33208974929101,152.16413357141784,4.880074326849199,-0.33190065317799977,0.08166666666666667,0.11333333333333333,0.050000000000000044,5112.888888888889,0.0005961938254341349,0.0005961938254341349,0.0005961938254341349,44_45:0.009042887730279475; 44_43:0.009131403380400804,44_45:512; 44_43:512
45,251.4351590900189,49.97178970015039,4.8175873450439575,-0.3324186524557672,0.08499999999999996,0.10333333333333333,0.06666666666666665,5112.888888888889,0.00011100052889740083,0.00011100052889740083,0.00011100052889740083,45_46:0.015499879052731202; 45_44:0.009042887730279475; 45_39:0.005309078732877087,45_46:561.7777777777777; 45_44:561.7777777777777; 45_39:512
46,223.7677734357936,318.2740815206432,4.868990389375928,-0.33057671932051597,0.08950000000000002,0.08840000000000003,0.0906,5112.888888888889,0.00016260535046563508,0.00016260535046563508,0.00016260535046563508,46_45:0.015499879052731202; 46_47:0.004044756622743201,46_45:512; 46_47:512
47,207.29583382328477,262.01644233074734,4.7389224921898965,-0.3336094481802462,0.018333333333333313,0.023333333333333317,0.013333333333333334,5112.888888888889,0.00023243387163320655,0.00023243387163320655,0.00023243387163320655,47_53:0.012087425715302746; 47_48:0.010419775262254127; 47_46:0.004044756622743201,47_53:512; 47_48:512; 47_46:561.7777777777777
48,97.55290873885598,207.19560888116504,4.5933996906969705,-0.3351476504865714,0.22340000000000004,0.4154,0.0314,5112.888888888889,0.0002436367455476209,0.0002436367455476209,0.0002436367455476209,48_47:0.010419775262254127; 48_49:0.006469380588162543,48_47:561.7777777777777; 48_49:561.7777777777777
49,255.88902406693506,383.1032979051112,4.7318990358184045,-0.334132341883894,0.0242,0.021399999999999975,0.027,5112.888888888889,0.00021125252129967738,0.00021125252129967738,0.00021125252129967738,49_50:0.011532035035662663; 49_48:0.006469380588162543; 49_40:0.03505387287888703,49_50:561.7777777777777; 49_48:512; 49_40:561.7777777777777
50,218.6604926109191,198.53090274284517,4.800803500808933,-0.3336143162012691,0.03909999999999991,0.06879999999999997,0.0094,5112.888888888889,0.00108575401186436,0.00108575401186436,0.00108575401186436,50_49:0.011532035035662663; 50_51:0.01481122792971018,50_49:512; 50_51:512
51,106.65532319850503,65.87238311280947,4.678383319137393,-0.33977501272865734,0.015199999999999991,0.019,0.011399999999999966,5112.888888888889,0.0004227392221349853,0.0004227392221349853,0.0004227392221349853,51_54:0.01836062638849628; 51_50:0.01481122792971018,51_54:561.7777777777777; 51_50:561.7777777777777
52,183.99131119332276,132.76926399030714,4.87427742764894,-0.3305123220877454,0.09749999999999992,0.1704,0.0246,5112.888888888889,0.0004738577251215841,0.0004738577251215841,0.0004738577251215841,52_56:0.009028552252588917; 52_43:0.01182470269936195,52_56:561.7777777777777; 52_43:512
53,177.92030898133268,221.0088693653995,4.682059687530413,-0.3344070783703075,0.013333333333333308,0.0033333333333333335,0.023333333333333317,5112.888888888889,0.0004419382335206901,0.0004419382335206901,0.0004419382335206901,53_47:0.012087425715302746; 53_60:0.0062128781188119375,53_47:561.7777777777777; 53_60:561.7777777777777
54,119.12297078565332,112.95039570252462,4.635527803715026,-0.33632319378985037,0.1079,0.1532,0.0626,5112.888888888889,0.0002961733994079607,0.0002961733994079607,0.0002961733994079607,54_51:0.01836062638849628; 54_64:0.017681279191735455,54_51:512; 54_64:561.7777777777777
55,186.28796237016851,177.54411036670388,4.669522644867942,-0.3351863415504024,0.05333333333333323,0.02666666666666667,0.07999999999999996,5112.888888888889,0.00014822992814675842,0.00014822992814675842,0.00014822992814675842,55_56:0.004555400408728594,55_56:512
56,222.40898551651057,376.968628893138,4.7617228461405645,-0.33456063676021397,0.10000000000000009,0.10333333333333339,0.09666666666666666,5112.888888888889,0.0001835731971347185,0.0001835731971347185,0.0001835731971347185,56_52:0.009028552252588917; 56_55:0.004555400408728594; 56_57:0.1752762010223968,56_52:512; 56_55:561.7777777777777; 56_57:561.7777777777777
